#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
6831	148.64028015147	 -4.62379670531	3822637823925308928	                                	          	14.29	      	      	      	 2.076	 7.48	               	 0.564	5p	 23	8	 0.089	 1.182	 0.073	 0.131	 0.075	 0.092	 3.20e-03	   2.9	 9.6	 1.74	 12.97	                 	0	0
6832	 15.18928199708	+17.72749159395	2784872879379482496	                                	          	14.29	      	      	      	 2.230	 9.74	               	 0.509	5p	 20	9	 0.063	 1.176	 0.074	 0.131	 0.077	 0.093	 3.40e-03	   2.9	 7.0	 1.68	 16.34	                 	0	0
6833	105.23547101090	+31.05143860694	 888322764369019904	                                	          	14.29	      	      	      	 2.034	 6.70	               	 0.614	5p	 22	9	 0.046	 1.165	 0.073	 0.131	 0.073	 0.086	 6.80e-03	   2.7	10.6	 1.78	 11.97	                 	0	0
6834	255.82895592907	+72.49387441124	1652071990885097728	                                	          	14.29	      	      	      	 2.347	 8.97	               	 0.550	5p	 44	8	 0.097	 1.251	 0.074	 0.131	 0.080	 0.113	 0.00e+00	   5.5	 9.7	 1.72	 15.43	                 	0	0
6835	209.09842103851	+46.13421129740	1508999449070213888	2MASS J13562355+4608036         	          	14.30	      	 11.03	      	 2.218	 9.94	               	 0.506	5p	 55	9	 0.046	 1.114	 0.074	 0.131	 0.078	 0.072	 2.60e-03	   3.0	 5.3	 1.67	 16.64	                 	0	0
6836	198.73709658426	-20.39916892097	3506463016156535808	                                	          	14.30	      	      	      	 2.205	 8.05	               	 0.567	5p	 40	9	 0.011	 1.126	 0.073	 0.131	 0.075	 0.073	 6.50e-03	   2.7	 7.2	 1.74	 14.00	                 	0	0
6837	183.08360347081	+43.29662529175	1536848944729346176	                                	          	14.30	      	      	      	 2.021	 7.41	               	 0.550	5p	 41	8	 0.021	 1.112	 0.073	 0.131	 0.080	 0.075	 5.70e-03	   2.8	 7.8	 1.72	 12.75	                 	0	0
6838	100.11514797819	+42.41888890774	 957855742270045568	                                	          	14.30	      	      	      	 2.211	 8.30	               	 0.560	5p	 21	9	 0.097	 1.254	 0.074	 0.131	 0.073	 0.108	 1.20e-04	   3.8	10.2	 1.73	 14.36	                 	0	0
6839	332.68029998307	 +8.88325218392	2722139796780188416	                                	          	14.30	      	      	      	 2.117	 8.51	               	 0.539	5p	 22	8	 0.111	 1.303	 0.073	 0.131	 0.071	 0.119	 1.00e-05	   4.4	10.7	 1.71	 14.54	                 	0	0
6840	 40.10449614647	+20.05801573552	  84864297456956928	                                	          	14.30	      	      	      	 1.969	 8.50	               	 0.515	5p	 17	9	 0.227	 1.331	 0.073	 0.131	 0.073	 0.128	 0.00e+00	   4.6	11.2	 1.68	 14.31	                 	0	0
6841	266.12207138347	 -2.34459893082	4369292392255766784	                                	          	14.30	      	      	      	 2.516	 8.80	               	 0.570	5p	 44	9	 0.094	 1.260	 0.076	 0.130	 0.073	 0.106	 0.00e+00	   5.1	 9.6	 1.74	 15.31	                 	0	0
6842	 70.16379489692	-70.28687734271	4654890644957468800	                                	          	14.30	      	      	      	 2.132	 8.39	               	 0.546	5p	 34	9	 0.000	 1.116	 0.073	 0.131	 0.083	 0.081	 3.10e-03	   3.0	 7.4	 1.72	 14.40	                 	0	0
6843	188.95323862183	-52.75638031408	6077937211334867840	                                	          	14.30	      	      	      	 2.135	 8.62	               	 0.539	5p	 81	9	 0.066	 1.203	 0.073	 0.132	 0.075	 0.096	 0.00e+00	   5.8	 8.5	 1.71	 14.73	                 	0	0
6844	175.13654857943	+27.85350519751	4018194415125329408	UCAC4 590-049845                	          	14.30	 15.06	 11.25	      	 1.967	 6.47	M1.9           	 0.611	5p	 25	9	 0.000	 1.144	 0.073	 0.131	 0.076	 0.083	 6.50e-03	   2.7	10.6	 1.78	 11.53	                 	0	0
6845	111.41858581360	+73.03848607253	1111860590762571648	                                	          	14.30	      	      	      	 1.819	 5.69	               	 0.628	5p	 55	9	 0.049	 1.134	 0.073	 0.131	 0.073	 0.075	 1.40e-03	   3.2	11.1	 1.80	 10.23	                 	0	0
6846	 98.83850268288	-17.12419437322	2946835305843520128	                                	          	14.30	      	      	      	 2.302	 9.16	               	 0.539	5p	 49	9	 0.054	 1.170	 0.074	 0.131	 0.071	 0.082	 4.20e-04	   3.5	 6.8	 1.71	 15.65	                 	0	0
6847	297.00275327346	-14.03748938825	4182617243668882560	                                	          	14.30	      	      	      	 2.282	 9.17	               	 0.527	5p	 25	9	 0.093	 1.179	 0.074	 0.131	 0.075	 0.090	 2.00e-03	   3.1	 7.4	 1.70	 15.56	                 	0	0
6848	 35.45534325661	+74.26519788845	 547023428710958592	                                	          	14.30	      	      	      	 2.439	 8.33	               	 0.569	5p	 44	9	 0.109	 1.243	 0.075	 0.131	 0.075	 0.105	 0.00e+00	   5.0	 9.9	 1.74	 14.49	                 	0	0
6849	329.93333742547	-26.74001776598	6619676039256213632	                                	          	14.30	      	      	      	 2.586	 9.06	               	 0.554	5p	 41	9	 0.070	 1.136	 0.077	 0.130	 0.078	 0.077	 4.50e-03	   2.8	 6.5	 1.72	 15.63	                 	0	0
6850	240.80856247063	+73.48074564831	1702486832401375104	                                	          	14.30	      	      	      	 1.976	 6.08	               	 0.631	5p	 41	8	 0.079	 1.125	 0.073	 0.131	 0.079	 0.078	 3.10e-03	   3.0	10.9	 1.80	 10.95	                 	0	0
6851	 87.25914009756	-37.54675924063	2886927384007794944	                                	          	14.30	      	      	      	 2.320	 8.64	               	 0.556	5p	 42	9	 0.046	 1.137	 0.074	 0.131	 0.075	 0.077	 3.10e-03	   3.0	 6.9	 1.73	 14.92	                 	0	0
6852	104.84919590225	-16.44353508450	2935638738422464384	                                	          	14.30	      	      	      	 2.298	 9.17	               	 0.533	5p	 63	9	 0.060	 1.177	 0.074	 0.131	 0.073	 0.085	 2.00e-05	   4.2	 7.0	 1.70	 15.61	                 	0	0
6853	220.13195917630	-57.14622173027	5891527487472021120	                                	          	14.30	      	      	      	 2.129	 8.21	               	 0.551	5p	 36	9	 0.066	 1.245	 0.073	 0.132	 0.076	 0.109	 0.00e+00	   4.9	10.2	 1.72	 14.13	                 	0	0
6854	253.65340228295	 +2.22909464052	4385125016094811392	                                	          	14.30	      	      	      	 1.951	 6.57	               	 0.614	5p	 47	9	 0.020	 1.150	 0.073	 0.131	 0.073	 0.079	 1.00e-03	   3.3	10.0	 1.78	 11.73	                 	0	0
6855	 45.02081897012	-28.37574902905	5071482887603838592	                                	          	14.30	      	      	      	 2.086	 5.03	               	 0.674	5p	 61	9	 0.051	 1.119	 0.073	 0.132	 0.074	 0.069	 3.10e-03	   3.0	12.2	 1.84	  9.26	                 	0	0
6856	 66.30168248664	-13.20732798134	3177665746181889408	                                	          	14.30	      	      	      	 2.237	10.29	               	 0.502	5p	 55	9	 0.030	 1.119	 0.074	 0.131	 0.074	 0.069	 5.20e-03	   2.8	 4.9	 1.67	 17.18	                 	0	0
6857	163.71445974121	-60.26546759480	5338237327817885696	[WML2017] AST37278              	          	14.30	      	      	      	 2.262	 9.03	               	 0.539	5p	 40	9	 0.058	 1.117	 0.074	 0.131	 0.084	 0.081	 1.50e-03	   3.2	 6.8	 1.71	 15.43	                 	0	0
6858	264.85903626526	+41.34043387554	1345751075044145536	                                	          	14.30	      	      	      	 1.931	 5.43	               	 0.657	5p	 41	8	 0.068	 1.126	 0.073	 0.131	 0.077	 0.076	 5.00e-03	   2.8	12.2	 1.83	  9.91	                 	0	0
6859	 19.79377714962	-36.11680205621	5013047486719660800	                                	          	14.30	      	      	      	 1.695	 4.53	               	 0.671	5p	 62	9	 0.000	 1.088	 0.074	 0.131	 0.079	 0.068	 4.00e-03	   2.9	13.2	 1.84	  8.33	                 	0	0
6860	202.66093178067	+44.58911253466	1549927257585859456	                                	          	14.30	      	      	      	 2.166	 8.08	               	 0.556	5p	 63	9	 0.067	 1.164	 0.073	 0.132	 0.079	 0.090	 0.00e+00	   4.6	 8.6	 1.73	 13.96	                 	0	0
6861	 82.78413922653	+26.74958541166	3441963911726610560	                                	          	14.30	      	      	      	 2.391	 8.87	               	 0.549	5p	 26	9	 0.093	 1.374	 0.074	 0.131	 0.072	 0.135	 0.00e+00	   5.9	11.7	 1.72	 15.25	                 	0	0
6862	200.27685704798	+64.72610521050	1677760430800271744	                                	          	14.30	      	      	      	 2.429	 9.07	               	 0.550	5p	 48	9	 0.059	 1.173	 0.075	 0.131	 0.079	 0.091	 4.00e-05	   4.1	 7.7	 1.72	 15.60	                 	0	0
6863	  9.16890143235	-10.55560419489	2425442322101260672	                                	          	14.30	      	      	      	 2.148	 7.39	               	 0.550	5p	 24	8	 0.091	 1.241	 0.073	 0.132	 0.078	 0.111	 5.00e-05	   4.1	11.6	 1.72	 12.71	                 	0	0
6864	275.20286187157	+83.72601223286	2296811758142108544	                                	          	14.30	      	      	      	 1.871	 5.56	               	 0.643	5p	 35	9	 0.031	 1.112	 0.073	 0.131	 0.079	 0.076	 6.30e-03	   2.7	11.7	 1.81	 10.08	                 	0	0
6865	346.71729622676	+63.67257633032	2207717785489443200	2MASS J23065187+6340210         	          	14.30	      	 11.03	      	 2.207	10.00	               	 0.507	5p	 47	9	 0.061	 1.158	 0.074	 0.132	 0.076	 0.084	 2.80e-04	   3.6	 6.2	 1.67	 16.75	                 	0	0
6866	 58.93537077542	+48.03949027267	 246896783427878656	                                	          	14.30	      	      	      	 1.758	 4.84	               	 0.674	5p	 47	9	 0.039	 1.117	 0.074	 0.131	 0.073	 0.070	 6.70e-03	   2.7	12.8	 1.84	  8.91	                 	0	0
6867	350.69093425086	-47.33947119346	6526794176027638784	                                	          	14.30	      	      	      	 1.971	 6.83	               	 0.585	5p	 79	9	 0.067	 1.138	 0.073	 0.132	 0.073	 0.075	 1.30e-04	   3.8	 8.9	 1.76	 12.00	                 	0	0
6868	119.07310221513	+84.68098663264	1149478456961327104	                                	          	14.30	      	      	      	 1.932	 6.37	               	 0.614	5p	 38	9	 0.054	 1.140	 0.073	 0.131	 0.074	 0.078	 3.50e-03	   2.9	10.1	 1.78	 11.38	                 	0	0
6869	235.18920410770	-31.35328971216	6016624491595436800	2MASS J15404543-3121113         	          	14.31	      	 10.53	      	 2.749	 7.92	M4             	 0.617	5p	 26	9	 0.095	 1.192	 0.081	 0.129	 0.074	 0.089	 3.90e-03	   2.9	 9.4	 1.79	 14.16	                 	0	0
6870	346.27845602605	+10.37698862064	2715175868087014144	                                	          	14.31	      	      	      	 2.425	 8.68	               	 0.555	5p	 21	9	 0.142	 1.410	 0.075	 0.131	 0.077	 0.147	 0.00e+00	   6.2	13.2	 1.73	 14.98	                 	0	0
6871	348.67966789829	 -0.93535203632	2638988645814180480	                                	          	14.31	      	      	      	 2.126	 8.95	               	 0.532	5p	 25	9	 0.041	 1.150	 0.073	 0.132	 0.075	 0.083	 6.60e-03	   2.7	 7.0	 1.70	 15.23	                 	0	0
6872	345.71463729195	-57.14209151973	6493496222292732928	                                	          	14.31	      	      	      	 1.690	 4.85	               	 0.664	5p	 71	9	 0.000	 1.095	 0.074	 0.131	 0.074	 0.063	 6.40e-03	   2.7	11.4	 1.83	  8.88	                 	0	0
6873	168.91484544084	-11.78378796040	3566298473299681024	                                	          	14.31	      	      	      	 2.136	 9.11	               	 0.510	5p	 24	8	 0.061	 1.158	 0.073	 0.132	 0.079	 0.090	 3.60e-03	   2.9	 7.3	 1.68	 15.29	                 	0	0
6874	171.92382547937	-15.61660409645	3560334687872820992	                                	          	14.31	      	      	      	 2.381	 9.52	               	 0.534	5p	 53	9	 0.064	 1.137	 0.074	 0.131	 0.076	 0.077	 1.10e-03	   3.3	 6.1	 1.70	 16.22	                 	0	0
6875	 56.91561189143	 -9.96015017279	3194467623884057728	                                	          	14.31	      	      	      	 2.242	 8.96	               	 0.531	5p	 23	8	 0.086	 1.179	 0.074	 0.132	 0.073	 0.089	 5.00e-03	   2.8	 7.5	 1.70	 15.24	                 	0	0
6876	 73.58845619460	+57.01200314922	 274696766702163328	                                	          	14.31	      	      	      	 2.331	 8.66	               	 0.550	5p	 46	9	 0.026	 1.133	 0.074	 0.131	 0.074	 0.074	 4.10e-03	   2.9	 6.6	 1.72	 14.90	                 	0	0
6877	289.61453625814	+65.04448771480	2254299351511958144	                                	          	14.31	      	      	      	 1.952	 6.43	               	 0.604	5p	 31	9	 0.052	 1.156	 0.073	 0.132	 0.078	 0.088	 1.10e-03	   3.3	11.2	 1.78	 11.41	                 	0	0
6878	 59.46729065098	-30.00199549384	4887334893477836032	UCAC4 300-004248                	          	14.31	 14.91	 11.55	 1.357	 1.721	 4.80	               	 0.683	5p	 59	9	 0.000	 1.098	 0.074	 0.131	 0.076	 0.068	 5.20e-03	   2.8	12.6	 1.85	  8.88	                 	0	0
6879	230.37645628906	+24.13767802298	1215931015597803008	                                	          	14.31	      	      	      	 2.292	 9.19	               	 0.535	5p	 70	9	 0.058	 1.120	 0.074	 0.132	 0.075	 0.070	 1.60e-03	   3.2	 5.8	 1.70	 15.66	                 	0	0
6880	290.74795035317	+41.59357928703	2101811004436237824	                                	          	14.31	      	      	      	 1.886	 5.53	               	 0.650	5p	 41	9	 0.000	 1.120	 0.073	 0.132	 0.076	 0.074	 5.10e-03	   2.8	11.6	 1.82	 10.05	                 	0	0
6881	331.90734127532	-18.23981244189	6825345667826341504	UCAC2  24990418                 	          	14.31	 15.28	 10.93	 1.610	 2.314	 7.03	               	 0.599	5p	 31	9	 0.103	 1.181	 0.074	 0.132	 0.076	 0.092	 5.00e-04	   3.5	10.7	 1.77	 12.44	                 	0	0
6882	180.50503108984	-15.96982307270	3568705063735067904	                                	          	14.31	      	      	      	 2.505	 8.48	               	 0.586	5p	 25	9	 0.137	 1.383	 0.076	 0.131	 0.077	 0.141	 0.00e+00	   6.2	13.4	 1.76	 14.91	                 	0	0
6883	 69.34055441993	+26.85029596787	 151499478104075008	2MASS J04372171+2651014         	          	14.31	      	 10.39	      	 2.860	 7.81	M4             	 0.642	5p	 27	8	 0.089	 1.214	 0.084	 0.129	 0.074	 0.096	 1.90e-03	   3.1	10.5	 1.81	 14.14	                 	0	1
6884	226.31516506266	-39.33068396178	6197626061399323264	                                	          	14.31	      	      	      	 2.134	 8.41	               	 0.535	5p	 23	9	 0.118	 1.304	 0.073	 0.132	 0.074	 0.123	 0.00e+00	   4.9	11.1	 1.70	 14.34	                 	0	0
6885	 58.90792613228	-52.80973418497	4828196011310133888	                                	          	14.31	      	      	      	 2.221	 9.88	               	 0.503	5p	 41	9	 0.063	 1.142	 0.074	 0.132	 0.077	 0.081	 1.40e-03	   3.2	 5.9	 1.67	 16.50	                 	0	0
6886	 38.85101708506	+38.57652101677	 334586306072093440	                                	          	14.31	      	      	      	 2.302	 7.32	               	 0.594	5p	 23	9	 0.102	 1.215	 0.074	 0.132	 0.071	 0.097	 9.00e-04	   3.3	10.8	 1.77	 12.92	                 	0	0
6887	 91.85539277332	-38.02093361218	2883334351807131008	                                	          	14.31	      	      	      	 2.202	 9.11	               	 0.521	5p	 42	9	 0.046	 1.161	 0.073	 0.132	 0.076	 0.086	 3.90e-04	   3.5	 7.0	 1.69	 15.39	                 	0	0
6888	156.76300177565	-25.64377325568	5469466170843570048	                                	          	14.31	      	      	      	 1.883	 5.95	               	 0.580	5p	 27	9	 0.077	 1.202	 0.073	 0.132	 0.071	 0.094	 6.00e-04	   3.4	12.7	 1.75	 10.42	                 	0	0
6889	125.16787032574	-72.56069415156	5220970907969889920	2MASS J08204019-7233398         	          	14.31	      	 10.51	      	 2.770	11.13	               	 0.546	5p	 41	8	 0.090	 1.304	 0.082	 0.130	 0.079	 0.122	 0.00e+00	   5.6	 8.4	 1.72	 19.10	                 	0	0
6890	283.47329900756	+17.33211568731	4511180833086773760	LSPM J1853+1719N                	          	14.31	      	 11.11	      	 2.131	 8.56	               	 0.527	5p	 58	8	 0.105	 1.249	 0.073	 0.132	 0.076	 0.110	 0.00e+00	   6.0	 9.6	 1.70	 14.52	                 	0	0
6891	253.09526080588	+23.14213906315	4566224000055534720	                                	          	14.31	      	      	      	 2.207	 8.65	               	 0.538	5p	 85	9	 0.027	 1.110	 0.074	 0.132	 0.073	 0.063	 3.30e-03	   2.9	 5.6	 1.71	 14.78	                 	0	0
6892	230.36190300354	+62.94371005138	1616719561020890112	                                	          	14.31	      	      	      	 2.231	 9.78	               	 0.509	5p	 29	9	 0.058	 1.158	 0.074	 0.132	 0.079	 0.089	 1.40e-03	   3.2	 6.7	 1.68	 16.40	                 	0	0
6893	199.37209011783	 +3.78955156792	3715819960049445888	LP  557-43                      	          	14.31	      	 11.43	      	 1.783	 5.45	               	 0.609	5p	 32	9	 0.057	 1.114	 0.074	 0.132	 0.082	 0.081	 3.90e-03	   2.9	12.3	 1.78	  9.70	                 	0	0
6894	168.58632100360	+58.89743155728	 857709714951065088	                                	          	14.31	      	      	      	 2.276	 9.00	               	 0.535	5p	 58	9	 0.043	 1.124	 0.074	 0.132	 0.076	 0.073	 1.70e-03	   3.1	 6.2	 1.70	 15.35	                 	0	0
6895	279.23157617297	+11.77377814644	4505022262292085120	                                	          	14.31	      	      	      	 2.193	 8.60	               	 0.546	5p	 43	9	 0.075	 1.168	 0.073	 0.132	 0.076	 0.088	 1.60e-04	   3.8	 7.9	 1.72	 14.77	                 	0	0
6896	128.45889107689	+13.75674298728	 651378180381662464	                                	          	14.31	      	      	      	 2.005	 7.18	               	 0.575	5p	 34	9	 0.028	 1.144	 0.073	 0.132	 0.077	 0.083	 1.90e-03	   3.1	 9.2	 1.75	 12.53	                 	0	0
6897	147.75920173179	-36.12626246962	5434837636244850816	                                	          	14.31	      	      	      	 1.770	 5.14	               	 0.645	5p	 96	9	 0.040	 1.102	 0.074	 0.132	 0.074	 0.066	 1.00e-03	   3.3	10.9	 1.81	  9.32	                 	0	0
6898	 69.76472877270	-40.97905100082	4816131684397548160	2MASS J04390338-4058454         	          	14.31	      	 11.09	      	 2.176	 8.34	               	 0.536	5p	 47	9	 0.029	 1.127	 0.073	 0.132	 0.076	 0.075	 2.60e-03	   3.0	 6.8	 1.71	 14.24	                 	0	0
6899	222.18864335194	 -2.03599363890	3650194302875483776	                                	          	14.31	      	      	      	 2.253	 8.78	               	 0.550	5p	 23	9	 0.083	 1.200	 0.074	 0.132	 0.071	 0.093	 2.00e-03	   3.1	 8.2	 1.72	 15.10	                 	0	0
6900	342.67228692198	+86.94997877998	2304372416707836288	LSPM J2250+8656                 	          	14.31	      	 11.13	      	 2.069	 7.05	               	 0.625	5p	 46	9	 0.069	 1.104	 0.073	 0.132	 0.079	 0.071	 6.00e-03	   2.8	 8.5	 1.80	 12.66	                 	0	0
6901	179.66416014680	-45.29085900177	5378018448732384768	                                	          	14.31	      	      	      	 2.353	 8.23	               	 0.560	5p	 47	9	 0.060	 1.136	 0.074	 0.132	 0.077	 0.078	 1.60e-03	   3.2	 7.4	 1.73	 14.24	                 	0	0
6902	222.47981434724	 +8.06090307112	1173304873933743232	                                	          	14.31	      	      	      	 2.158	 7.28	               	 0.590	5p	 21	9	 0.093	 1.198	 0.073	 0.132	 0.073	 0.095	 2.00e-03	   3.1	10.6	 1.76	 12.81	                 	0	0
6903	203.92949203126	+29.70391232015	1455920765756987520	                                	          	14.31	      	      	      	 2.249	 7.60	               	 0.569	5p	 55	9	 0.113	 1.219	 0.074	 0.132	 0.081	 0.107	 0.00e+00	   5.8	11.1	 1.74	 13.23	                 	0	0
6904	188.84445563270	+30.98342464393	4012213488482609792	                                	          	14.31	      	      	      	 2.137	 7.84	               	 0.564	5p	 33	9	 0.057	 1.166	 0.073	 0.132	 0.076	 0.088	 8.60e-04	   3.3	 8.8	 1.74	 13.60	                 	0	0
6905	118.30145193241	+53.56097138444	 984682039280919552	                                	          	14.31	      	      	      	 2.114	 7.90	               	 0.555	5p	 46	9	 0.055	 1.127	 0.073	 0.132	 0.073	 0.072	 5.70e-03	   2.8	 7.0	 1.73	 13.63	                 	0	0
6906	228.58802891676	-48.24126177879	5902890012407885696	UCAC4 209-096532                	          	14.31	      	 10.70	      	 2.555	 6.83	               	 0.634	5p	 44	9	 0.073	 1.148	 0.077	 0.131	 0.077	 0.080	 1.60e-03	   3.2	10.0	 1.80	 12.31	                 	0	0
6907	168.64796673787	-54.18754750268	5347463501646558336	                                	          	14.31	      	      	      	 2.216	 8.50	               	 0.542	5p	 57	9	 0.022	 1.113	 0.074	 0.132	 0.077	 0.070	 3.40e-03	   2.9	 6.3	 1.71	 14.55	                 	0	0
6908	309.11420173021	 +7.55511082583	1749111141941987712	                                	          	14.31	      	      	      	 2.118	 7.77	               	 0.548	5p	 47	9	 0.121	 1.273	 0.073	 0.132	 0.077	 0.117	 0.00e+00	   6.3	11.6	 1.72	 13.35	                 	0	0
6909	245.52736759081	-21.45258297646	6052223688802577664	2MASS J16220658-2127089         	          	14.31	      	 10.13	      	 2.900	 7.60	M3.5e          	 0.647	5p	 47	9	 0.084	 1.171	 0.087	 0.129	 0.074	 0.085	 1.30e-03	   3.2	 9.6	 1.82	 13.80	                 	0	0
